detected_date,entry_date,exited_date,symbol,side,status,regime,entry,stop,target,tp_runner_pct,tp_target_multiplier,tp_conviction,exit_price,hold_candles,r_multiple,price_return_pct,leverage,taken,position_pct,margin,net_pnl,fees,funding,outcome,ml_score,ml_p_win,ml_expected_r,ml_tail_prob,ml_not_bad_prob,ml_market_regime,feat_score,feat_breakout_pct,feat_distance_to_trigger_pct,feat_risk_pct,feat_reward_pct,feat_reward_risk,feat_volume_ratio,feat_avg_quote_volume,feat_compression_pct,feat_atr_pct,feat_trend_score,feat_close_position,feat_quote_volume_24h,feat_range_pct_24h,feat_price_change_pct_24h,feat_momentum_score,feat_btc_momentum_pct,feat_btc_ema_distance_pct,feat_rel_momentum_pct,feat_symbol_trades_30,feat_symbol_win_rate_30,feat_symbol_avg_r_30,feat_interval
2026-05-07 07:59,2026-05-07 08:59,2026-05-07 15:59,RENDERUSDT,LONG,BREAKOUT,INSTANT,2.0116033,1.9411971845,2.1466905,50.00,1.000,0.000,1.971371234,7,-0.5714,-2.0000,10,yes,46.75,4.463515,-0.936780,0.040172,0.003906,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,95.600000,0.008020,0.000000,0.052602,0.074960,1.425040,3.262914,1185074.565980,0.000000,0.012929,1.000000,0.897959,33941066.225600,5.967181,0.000000,0.654564,2.280342,0.827546,5.490291,0.000000,0.500000,0.000000,1h
2026-05-07 07:59,2026-05-07 08:59,2026-05-07 13:59,FETUSDT,LONG,BREAKOUT,INSTANT,0.23156945,0.22346451925,0.2421237,50.00,1.000,0.000,0.226938061,5,-0.5714,-2.0000,10,yes,46.75,4.463515,-0.935664,0.040172,0.002790,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,96.400000,0.018030,0.000000,0.044339,0.063684,1.436316,3.840547,1915936.679555,0.000000,0.015119,1.000000,0.946667,51666164.297200,7.127430,0.000000,0.755533,2.280342,0.827546,9.017735,0.000000,0.500000,0.000000,1h
2026-05-10 16:59,2026-05-10 17:59,2026-05-11 06:59,SUIUSDT,LONG,BREAKOUT,INSTANT,1.27318184,1.2286204756,1.49684344845,50.00,1.000,0.000,1.33323001092,13,1.3475,4.7164,10,yes,24.75,1.899607,0.875745,0.017096,0.003087,WIN,0.000000,0.000000,0.000000,0.000000,0.000000,,96.400000,0.036986,0.000000,0.144441,0.218206,1.510692,7.459824,20771306.398147,0.000000,0.023052,1.000000,0.925325,591648510.671850,17.715453,0.000000,1.229838,1.975094,0.965977,29.035610,0.000000,0.500000,0.000000,1h
2026-05-10 19:59,2026-05-10 20:59,2026-05-10 21:59,APTUSDT,LONG,BREAKOUT,INSTANT,1.21776522,1.1751434373,1.36875885,50.00,1.000,0.000,1.1751434373,1,-1.0000,-3.5000,10,yes,24.75,1.899607,-0.682196,0.017096,0.000237,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,91.900000,0.010876,0.000000,0.099091,0.135236,1.364764,4.506272,2772177.105180,0.000000,0.018508,1.000000,0.670262,69683660.818510,12.984560,0.000000,0.874635,1.616542,0.959690,16.884675,1.000000,0.000000,-0.483173,1h
2026-05-11 11:59,2026-05-11 12:59,2026-05-11 14:59,INJUSDT,LONG,BREAKOUT,INSTANT,4.4553362,4.299399433,4.7574945,50.00,1.000,0.000,4.366229476,2,-0.5714,-2.0000,10,yes,35.75,2.813071,-0.588635,0.025318,0.000703,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,90.400000,0.013197,0.000000,0.057379,0.081397,1.418603,4.965289,1154811.676345,0.000000,0.015030,1.000000,0.554688,31323675.539100,8.960252,0.000000,0.858016,1.228706,0.484536,8.074190,0.000000,0.500000,0.000000,1h
2026-05-13 09:59,2026-05-13 10:59,2026-05-13 12:59,ARBUSDT,LONG,BREAKOUT,RETEST,0.14254275,0.13755375375,0.1502475,50.00,1.000,0.000,0.139691895,2,-0.5714,-2.0000,10,yes,24.75,1.801823,-0.377032,0.016216,0.000450,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,88.400000,0.003524,0.000000,0.047289,0.057769,1.221617,2.622839,1169373.551065,0.000000,0.010333,0.700000,0.727273,31134867.830780,6.530899,0.000000,0.513782,0.604951,0.429624,-0.110949,0.000000,0.500000,0.000000,1h
2026-05-13 09:59,2026-05-13 10:59,2026-05-13 14:59,INJUSDT,LONG,BREAKOUT,INSTANT,5.8577568,5.652735312,7.64092479715,50.00,1.000,0.000,5.7385746164,4,-0.5813,-2.0346,10,no,,0.000000,0.000000,0.000000,0.000000,skipped,0.000000,0.000000,0.000000,0.000000,0.000000,,99.500000,0.049830,0.000000,0.183789,0.368219,2.003486,5.191794,7410164.344050,0.000000,0.031623,1.000000,0.964455,212139041.217000,21.871265,0.000000,1.193951,0.604951,0.429624,41.176700,1.000000,0.000000,-0.571429,1h
2026-05-21 00:59,2026-05-21 01:59,2026-05-21 02:59,SUIUSDT,LONG,BREAKOUT,INSTANT,1.12193648,1.0826687032,1.1208426,50.00,1.000,0.000,1.1185846988,1,-0.0854,-0.2987,10,yes,24.75,1.708508,-0.066632,0.015377,0.000214,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,96.400000,0.035549,0.000000,0.023128,0.033908,1.466092,3.399806,8430073.141490,0.000000,0.015298,1.000000,0.936441,214251021.418360,8.452965,0.000000,0.884751,0.976214,0.760372,6.694677,1.000000,1.000000,1.347539,1h
2026-05-21 17:59,2026-05-21 18:59,2026-05-22 12:59,VIRTUALUSDT,LONG,BREAKOUT,INSTANT,0.75112527,0.72483588555,0.7949102,50.00,1.000,0.000,0.771139921825,18,0.7613,2.6646,10,yes,24.75,1.692017,0.431823,0.015228,0.003807,WIN,0.000000,0.000000,0.000000,0.000000,0.000000,,94.300000,0.007108,0.000000,0.045347,0.065070,1.434930,3.430691,960662.806681,0.000000,0.014231,1.000000,0.806167,24769551.816240,5.313624,0.000000,0.671034,1.512956,0.548970,5.773799,1.000000,1.000000,0.615510,1h
2026-05-21 17:59,2026-05-21 18:59,2026-05-22 18:59,APTUSDT,LONG,BREAKOUT,INSTANT,0.9742922,0.9413136,1.01670585,50.00,1.000,0.000,0.9649978695,24,-0.2818,-0.9540,10,yes,24.75,1.692017,-0.181715,0.015228,0.005076,LOSS,0.000000,0.000000,0.000000,0.000000,0.000000,,94.100000,0.003709,0.000000,0.032037,0.046564,1.453436,3.567385,936934.777363,0.000000,0.011190,1.000000,0.789216,25063206.206610,3.613592,0.000000,0.667113,1.512956,0.548970,3.443406,2.000000,0.000000,-0.741586,1h
